Neuron,Outdegree_NPP_all,Indegree_NPP_all,Degree_NPP_all,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"VD05",169,2,171,102,2,104,92,2,94
"VD06",169,2,171,102,2,104,92,2,94
"VD07",169,2,171,102,2,104,92,2,94
"VD08",169,2,171,102,2,104,92,2,94
"VD09",169,2,171,102,2,104,92,2,94
"VD10",169,2,171,102,2,104,92,2,94
"VD11",169,2,171,102,2,104,92,2,94
"VD12",169,2,171,102,2,104,92,2,94
"VD13",169,2,171,102,2,104,92,2,94
"HSNL",214,268,482,212,262,474,194,240,434
"HSNR",214,268,482,212,262,474,194,240,434
"VC01",200,66,266,200,66,266,144,45,189
"VC02",200,66,266,200,66,266,144,45,189
"VC03",200,66,266,110,38,148,89,32,121
"VC04",189,92,281,101,51,152,86,39,125
"VC05",189,92,281,101,51,152,86,39,125
"VC06",200,66,266,110,38,148,89,32,121
