Neuron,Outdegree_NPP_all_mid_range,Indegree_NPP_all_mid_range,Degree_NPP_all_mid_range,Outdegree_NPP_all_short_range,Indegree_NPP_all_short_range,Degree_NPP_all_short_range
"RMFL",180,205,385,154,162,316
"RMFR",180,205,385,154,162,316
"RMHL",176,206,382,142,163,305
"RMHR",176,206,382,142,163,305
"RIVL",185,103,288,156,81,237
"RIVR",185,103,288,156,81,237
"SMBDL",203,181,384,108,92,200
"SMBDR",203,181,384,108,92,200
"SMBVL",203,181,384,130,110,240
"SMBVR",203,181,384,130,110,240
"SMDDL",214,276,490,140,163,303
"SMDDR",214,276,490,140,163,303
"SMDVL",214,276,490,157,185,342
"SMDVR",214,276,490,157,185,342
"URADL",81,142,223,62,104,166
"URADR",81,142,223,62,104,166
"URAVL",81,142,223,62,104,166
"URAVR",81,142,223,62,104,166
"DA01",215,282,497,146,186,332
"DA02",215,282,497,146,186,332
"DA03",215,282,497,146,186,332
"DA04",215,282,497,146,186,332
"DA05",120,147,267,98,123,221
"DA06",120,147,267,98,123,221
"DA07",120,147,267,98,123,221
"DA08",126,155,281,102,131,233
"DA09",135,157,292,111,133,244
"PDA",136,156,292,63,82,145
"DB01",238,278,516,169,186,355
"DB02",238,280,518,104,123,227
"DB03",126,147,273,104,123,227
"DB04",126,147,273,104,123,227
"DB05",126,147,273,104,123,227
"DB06",126,147,273,104,123,227
"DB07",126,147,273,104,123,227
"AS01",214,282,496,159,186,345
"AS02",214,282,496,159,186,345
"AS03",122,147,269,104,123,227
"AS04",122,147,269,104,123,227
"AS05",122,147,269,104,123,227
"AS06",122,147,269,104,123,227
"AS07",122,147,269,104,123,227
"AS08",122,147,269,104,123,227
"AS09",122,147,269,104,123,227
"AS10",122,147,269,104,123,227
"AS11",126,155,281,106,131,237
"PDB",91,153,244,51,81,132
"DD01",215,95,310,146,54,200
"DD02",120,22,142,98,12,110
"DD03",120,22,142,98,12,110
"DD04",120,22,142,98,12,110
"DD05",120,22,142,98,12,110
"DD06",126,22,148,102,12,114
"VA01",244,282,526,165,182,347
"VA02",244,282,526,165,182,347
"VA03",244,282,526,165,182,347
"VA04",244,282,526,165,182,347
"VA05",126,147,273,99,118,217
"VA06",126,147,273,99,118,217
"VA07",126,147,273,99,118,217
"VA08",126,147,273,99,118,217
"VA09",126,147,273,99,118,217
"VA10",126,147,273,99,118,217
"VA11",126,147,273,99,118,217
"VA12",135,155,290,108,126,234
"VB01",214,279,493,155,181,336
"VB02",240,278,518,165,182,347
"VB03",126,147,273,99,118,217
"VB04",126,147,273,99,118,217
"VB05",126,147,273,99,118,217
"VB06",126,147,273,99,118,217
"VB07",126,147,273,99,118,217
"VB08",126,147,273,99,118,217
"VB09",126,147,273,99,118,217
"VB10",126,147,273,99,118,217
"VB11",126,147,273,99,118,217
"VD01",215,95,310,146,54,200
"VD02",215,95,310,146,54,200
"VD03",120,22,142,98,12,110
"VD04",120,22,142,98,12,110
"VD05",120,22,142,98,12,110
"VD06",120,22,142,98,12,110
"VD07",120,22,142,98,12,110
"VD08",120,22,142,98,12,110
"VD09",120,22,142,98,12,110
"VD10",120,22,142,98,12,110
"VD11",120,22,142,98,12,110
"VD12",126,22,148,102,12,114
"VD13",126,22,148,102,12,114
"HSNL",226,279,505,212,255,467
"HSNR",226,279,505,212,255,467
"VC01",230,145,375,148,99,247
"VC02",230,145,375,148,99,247
"VC03",118,67,185,95,55,150
"VC04",80,77,157,72,65,137
"VC05",80,77,157,72,65,137
"VC06",118,67,185,95,55,150
